;0
226;278.2073501382292
227;277.39292824546885
228;278.8974134271121
229;279.27664133257133
230;279.23260825599493
231;279.1677159901386
232;278.6410948873988
233;280.12021678291103
234;279.1910785427953
235;278.9122843295632
236;277.281702277141
237;275.0465482530193
238;274.44477623426
239;277.94776487904284
240;278.9940551641791
241;280.8485431930933
242;280.8350634669866
243;281.0715570312208
244;281.9887797752718
245;282.0904198212664
246;281.3315702438911
247;284.18024779525956
248;279.20375629553337
249;279.0445290109594
250;280.76772290818246
251;279.4494502428109
252;280.4807508822849
253;282.05137073037116
254;285.1231461408306
255;285.52890147369556
256;286.18571782992024
257;286.92989617590916
258;288.21804728245445
259;288.5228098142339
260;287.20196442330484
261;288.0589948401344
262;288.0143148149793
263;289.800439602896
264;289.7250429023893
265;290.0216784352904
266;289.3592850924844
267;289.8676053067127
268;290.1454804528631
269;292.51958126117313
270;291.9953220474467
271;291.95357891532393
272;293.1945287727253
273;293.6378141816043
274;293.8417411707615
275;291.63889264082684
276;291.01999884384287
277;293.66176042723447
278;292.55904169925816
279;288.09684859502056
280;287.61583947142583
281;286.64919843714
282;287.9098654357707
283;281.4999054620995
284;283.5383557345393
285;284.7264930894666
286;287.24672522603026
287;285.8277532102254
288;284.21816215976463
289;286.29737626733674
290;285.48507612236665
291;282.5215644622295
292;282.8856319084096
293;280.3616385221052
294;278.610432277504
295;279.03642330751
296;275.66087548439396
297;274.8749929605705
298;279.9178221789005
299;282.23763215674904
300;284.2686754876431
301;287.0211092725883
302;288.416384884051
303;288.661558649284
304;288.31797906789933
305;289.33714313055174
306;289.066343204604
307;289.24778003991946
308;291.93166580322963
309;292.65625989722173
310;295.346854745734
311;293.877447966878
312;293.71475227864295
313;291.0515682290661
314;290.66699298010167
315;291.4587689666972
316;292.80722027225926
317;295.2768934113075
318;296.1375333032158
319;298.36154665623917
320;298.1973815650761
321;296.82387219124985
322;297.10552826010735
323;298.3153765802193
324;299.02260265258855
325;300.3372669991259
326;300.5491385394887
327;299.71597087503517
328;297.7691458663942
329;298.6721829546206
330;297.0917521827066
331;297.756043648138
332;299.6691275458605
333;301.04217654844007
334;299.869162192408
335;301.70806943262073
336;301.2196412497953
337;300.58515011910407
338;297.5046528691406
339;295.01937078529613
340;292.8268422060068
341;285.01002857643005
342;288.0117895828051
343;287.69246607324453
344;292.8988538538761
345;291.47703290555756
346;288.63690632897647
347;292.24688562085566
348;284.77257667991177
349;285.2379001614706
350;288.27188377870937
351;291.48679765967745
352;290.08940061721484
353;292.2690968891697
354;292.1268045007249
355;285.8079038941948
356;288.10881105446936
357;286.662189310748
358;288.5268617560737
359;291.7548640079639
360;291.96174906851303
361;290.8139929427613
362;293.5817561060522
363;296.8459609809134
364;297.4627917461259
365;297.96577341241255
366;297.97972109558964
